ERBB2_DRUGINHIBITION_8_GDS2139-DN,JAK2,MAPK1,MAPK3,PTK2B,IGF1R,LCK,JAK1,EGFR,INSR,SRC,PRKCD,ABL1,CAMK4,MAPK14,CHUK,PDGFRB,HIPK2,LYN,CSK,JAK3
ERBB2_KNOCKDOWN_234_GSE8373-DN,MAPK1,GSK3B,CSNK2A1,MAPK3,RPS6KA5,PRKACA,AKT1,CHUK,MAPK14,CAMK4,HIPK2,PRKCD,CDK7,MAPK8,CSNK1A1,RPS6KB1,MAP3K1,SGK3,MAPKAPK2,RPS6KA1
MET_KNOCKOUT_253_GSE30651-DN,MAPK1,MAPK3,GSK3B,MAPK14,CHUK,CSNK2A1,MAPK8,AKT1,IKBKB,HIPK2,MAPK9,CDK4,ABL1,CDK6,CDK1,CAMK4,CDK7,GSK3A,RPS6KA2,MAP2K1
AKT1_KNOCKDOWN_43_GSE12291-DN,MAPK1,MAPK3,MAPK14,GSK3B,CSNK2A1,MAPK8,AKT1,HIPK2,CHUK,ABL1,ATM,RPS6KA5,MAP3K7,CDK2,MAPK9,CDK1,PIM1,PAK1,CDK4,GSK3A
ERBB2_KNOCKDOWN_231_GSE8373-DN,MAPK1,MAPK3,GSK3B,MAPK14,CSNK2A1,MAPK8,CDK2,CHUK,RPS6KA3,RPS6KA5,AKT1,PRKACA,CAMK4,MAPKAPK2,HIPK2,CSNK2A2,RPS6KA1,GSK3A,ABL1,CAMK1
MAP3K1_KNOCKOUT_245_GSE39240-DN,MAPK1,MAPK3,GSK3B,MAPK14,CSNK2A1,CDK2,MAPK8,AKT1,HIPK2,ATM,PRKDC,RPS6KA5,GSK3A,CHUK,MAPK9,RPS6KA1,CDK4,ATR,ABL1,PIM1
MAPK14_KNOCKDOWN_101_GSE27869-DN,MAPK1,GSK3B,MAPK3,CHUK,CSNK2A1,MAPK14,HIPK2,CDK2,RPS6KA5,CDK9,RPS6KA1,MAPKAPK2,AKT1,MAPK8,GSK3A,RPS6KA2,CDK4,PRKCD,CDK1,RET
MET_KNOCKOUT_252_GSE30651-DN,MAPK1,MAPK3,GSK3B,MAPK14,CHUK,CDK2,CSNK2A1,MAP2K1,HIPK2,CAMK4,MAPKAPK2,CDK7,CDK4,RET,RPS6KA2,MAP3K8,AKT1,MAPK9,RPS6KA5,RPS6KB1
IRAK1_KNOCKDOWN_115_GSE27869-DN,MAPK1,MAPK3,GSK3B,CDK2,MAPK14,CHUK,HIPK2,CSNK2A1,CDK6,RPS6KA2,CDK1,AKT1,MAPK8,GSK3A,CDK4,MAPK9,MAPKAPK2,CAMK4,CDK7,MAP2K1
MAP4K5_KNOCKDOWN_199_GSE61497-DN,MAPK1,MAPK3,GSK3B,MAPK14,CSNK2A1,MAPK8,AKT1,HIPK2,CDK2,RPS6KA5,CHUK,CDK7,ABL1,ATM,GSK3A,PIM1,PDPK1,CDK1,MAPK9,MAP3K7
IRAK4_KNOCKOUT_41_GSE12124-DN,MAPK1,MAPK3,GSK3B,CHUK,MAPK8,BMPR1B,CSNK2A1,MAPK14,AKT1,PIM1,CDK9,TGFBR1,CDK2,ABL1,CDK6,CDK7,CSNK1D,HIPK2,RET,IKBKE
ERBB2_KNOCKDOWN_237_GSE8373-DN,MAPK1,MAPK3,GSK3B,CSNK2A1,MAPK14,MAPK8,RPS6KA5,ATM,CDK2,AKT1,CHUK,GSK3A,PRKDC,HIPK2,ABL1,MAPK9,ATR,PIM1,CDK7,CDK4
IRAK2_KNOCKOUT_76_GSE24264-DN,MAPK1,MAPK3,GSK3B,MAPK14,CSNK2A1,CDK2,CHUK,ATM,HIPK2,RPS6KA5,MAPK8,AKT1,MAP2K1,CDK4,RPS6KB1,CAMK4,MAPKAPK2,TAF1,RPS6KA1,IKBKE
HIPK2_DEFECTIVEMUTANT_29_GDS4233-DN,MAPK1,MAPK3,JAK2,MAPK14,CHUK,GSK3B,HIPK2,CSNK2A1,PTK2B,PRKCD,RET,JAK1,SYK,CDK2,LCK,EGFR,RAF1,RPS6KB1,CDK9,PDGFRB
JAK1_KNOCKDOWN_160_GSE37012-DN,MAPK1,MAPK3,MAPK14,AKT1,CHUK,GSK3B,MAPK8,CSNK2A1,ABL1,CSNK2A2,CDK2,INSR,PDGFRB,PRKCD,MAPKAPK2,RPS6KA3,RPS6KA1,EGFR,CDK7,PRKD1
CDK4_KNOCKDOWN_133_GSE31534-DN,AKT1,MAPK1,MAPK3,MAPK14,GSK3B,CHUK,CSNK2A1,CSNK1A1,MAP3K7,MAPK8,ABL1,CDK7,GSK3A,HIPK2,PRKCD,CDK4,EGFR,SRC,PDGFRB,IKBKB
BMPR1A_KNOCKOUT_222_GSE48092-DN,AKT1,HIPK2,CAMK1,CAMK4,TAF1,PRKACA,CDK8,ABL1,MAPK1,CDK4,MELK,CDK9,TSSK4,RPS6KA4,SGK2,PRKG2,SGK3,CAMK1D,CAMK1G,DYRK3
AKT1_KNOCKDOWN_141_GSE31912-DN,MAPK1,GSK3B,AKT1,MAPK14,MAPK3,MAPK8,HIPK2,CHUK,MAP3K7,CDK2,CSNK2A1,CDK7,CDK4,RPS6KA3,RPS6KA1,CDK1,IKBKB,ABL1,PLK1,RPS6KA2
MET_KNOCKOUT_264_GSE8747-DN,MAPK1,MAPK3,GSK3B,MAPK14,MAPK8,CHUK,AKT1,CDK1,HIPK2,CSNK2A1,TGFBR1,MAPKAPK2,ATM,BMPR1B,MAP3K8,CDK2,CAMK4,MAP3K7,IKBKB,PDK1
CSF1R_DRUGINHIBITION_195_GSE57686-DN,MAPK1,MAPK3,MAPK14,GSK3B,CHUK,CDK6,HIPK2,CDK4,CSNK2A1,CDK2,AKT1,CDK7,NLK,CSNK2A2,MAPK8,RPS6KA1,RPS6KA5,ATM,RPS6KA3,RPS6KA2
ATM_KNOCKOUT_75_GSE23116-DN,MAPK1,MAPK3,MAPK14,CSNK2A1,GSK3B,ABL1,AKT1,HIPK2,CHUK,MAPK8,PIM1,CDK4,RPS6KA5,CDK2,CDK6,PRKDC,ATM,IKBKB,GSK3A,CDK9
MAPK14_KNOCKDOWN_139_GSE31912-DN,GSK3B,MAPK8,CAMK4,CDK2,HIPK2,MAPK1,ABL1,MAPK3,CDK6,CDK9,CSNK2A1,ATR,CSNK1A1L,MAPK14,CSNK1G3,ATM,PLK1,PRKAA1,PRKD1,CSNK1E
PRKCA_KNOCKDOWN_118_GSE27869-DN,MAPK1,MAPK3,MAPK14,GSK3B,CSNK2A1,CDK1,CDK2,HIPK2,MAP2K1,CDK4,BMPR1B,TGFBR1,ATM,CHUK,AKT1,PRKDC,RPS6KA2,RPS6KA4,MAPK8,RPS6KB1
